233,191,221,0.00382969775705801
255,234,248,0.00346350517502814
242,219,218,0.00370643665732335
244,220,243,0.00433184851546777
250,229,209,0.00427087353905678
250,239,229,0.00461541676110515
255,247,62,0.00318579260403009
253,232,217,0.00379675156548126
244,245,222,0.00407652035783687
257,258,243,0.00399175517359454
234,221,195,0.00415438745879983
234,197,225,0.00408358488877415
256,248,234,0.00317304694075144
235,202,227,0.00333164974174708
103,24,25,0.00351457783668948
236,210,211,0.00476000827401899
101,23,24,0.00356106742882818
236,211,237,0.00478030691291049
253,252,232,0.00357368090141045
92,32,33,0.00358789802403285
61,246,245,0.00363219596581591
242,243,219,0.00391292820617697
251,230,210,0.00398490898789977
97,21,22,0.00349124159178241
239,215,214,0.00337269248226105
239,240,215,0.00332040122194338
99,22,23,0.00355174498493871
257,242,59,0.0037283946816815
77,56,57,0.00352049369302059
102,11,12,0.00360672366313046
250,240,239,0.00391584887637665
88,34,35,0.00360672366313047
249,229,239,0.00329253071242537
231,208,207,0.00358881180729577
61,62,246,0.00320475740353457
258,237,238,0.00418963034083823
102,104,11,0.00357861737101008
254,62,61,0.00310135859316894
213,179,181,0.00398387156546777
31,3,165,0.00275251751167383
242,218,241,0.00340004993736187
173,240,250,0.00331095638163977
248,227,226,0.00338503487187814
115,40,41,0.0034199365403591
248,226,247,0.00325168016984351
99,23,101,0.00332386255391786
60,244,172,0.00348121594317333
62,247,246,0.00317722149397327
93,19,20,0.00333379244887912
79,57,58,0.00352215047407124
99,97,22,0.00331793450519116
105,25,26,0.00348470658442465
60,245,244,0.00405274892799096
252,238,213,0.00401060569292758
103,101,24,0.00334081199350803
61,60,253,0.00341291197776349
88,90,34,0.00357861737101007
251,236,59,0.00394702567794077
59,242,241,0.00354480666481572
79,77,57,0.00332633111554559
173,250,251,0.00344425533385299
173,241,240,0.00286490036189608
252,213,232,0.00399313048207225
107,26,27,0.00354536387992765
61,245,60,0.00346008896674053
93,91,19,0.00324625998823453
249,214,231,0.00285517725739791
94,4,32,0.00357423497506897
249,231,207,0.00304513019683981
66,49,50,0.0035165287874589
172,258,238,0.00315024207353082
88,35,86,0.00357861737101008
78,39,40,0.00392784256077409
258,172,244,0.0035720995767435
164,233,221,0.00312643593748893
164,221,255,0.00292792228934139
78,80,39,0.0036549488573274
258,244,243,0.00439505675103904
5,165,3,0.00390183072109037
66,50,68,0.00330444124404971
256,225,235,0.00305177767649986
256,235,227,0.00282555182508709
257,236,237,0.00427826812907427
73,41,42,0.00512330359132731
257,59,236,0.00384233233889107
254,61,253,0.0031802573740245
71,43,44,0.00291004615884791
115,41,73,0.00401248786889053
110,7,8,0.00400539742866561
103,25,105,0.00335561427907478
86,35,36,0.00358549780216737
80,38,39,0.00370677202986275
110,8,108,0.00393742907923242
165,30,31,0.00273596233178055
67,45,46,0.0035615961033175
140,90,88,0.00355541530159278
72,52,53,0.00348070297718106
96,14,4,0.00357423497506901
254,217,233,0.00356886228529161
1,42,41,0.00395870835827006
94,32,92,0.00357285433034483
250,209,230,0.00407074317369225
85,15,16,0.00337511364364124
90,33,34,0.00356776480560304
111,28,29,0.00357413825535521
252,253,60,0.00346469709115784
250,230,251,0.00431688601556138
254,253,217,0.00336425160789485
